image_name,crack_1,crack_2,crack_3
01501.JPG,RAIl,RAIl,none
01502.JPG,none,none,none
01503.JPG,long,none,none
01504.JPG,none,none,none
01505.JPG,none,none,none
01506.JPG,none,none,none
01507.JPG,none,none,none
01508.JPG,none,none,none
01509.JPG,none,lat,none
01510.JPG,none,none,none
01511.JPG,none,none,none
01512.JPG,none,none,none
01513.JPG,none,none,lat
01514.JPG,none,none,lat
01515.JPG,none,none,none
01516.JPG,none,none,none
01517.JPG,none,none,none
01518.JPG,long,long,long
01519.JPG,none,none,none
01520.JPG,none,none,none
01521.JPG,none,none,none
01522.JPG,none,none,none
01523.JPG,long,none,none
01524.JPG,none,none,none
01525.JPG,lat,none,lat
01526.JPG,none,none,none
01527.JPG,none,none,none
01528.JPG,none,none,none
01529.JPG,none,none,none
01530.JPG,none,none,none
01531.JPG,none,none,none
01532.JPG,none,none,long
01533.JPG,none,none,none
01534.JPG,none,none,none
01535.JPG,none,none,croc
01536.JPG,long,long,long
01537.JPG,none,none,none
01538.JPG,lat,diag,none
01539.JPG,none,none,none
01540.JPG,none,none,none
01541.JPG,none,none,none
01542.JPG,none,none,none
01543.JPG,none,long,none
01544.JPG,none,none,none
01545.JPG,none,none,croc
01546.JPG,none,none,none
01547.JPG,none,none,none
01548.JPG,none,lat,none
01549.JPG,long,long,croc
01550.JPG,none,none,none
01551.JPG,long,long,none
01552.JPG,none,none,none
01553.JPG,none,none,none
01554.JPG,long,croc,long
01555.JPG,none,none,none
01556.JPG,long,long,long
01557.JPG,none,lat,diag
01558.JPG,none,none,none
01559.JPG,long,lat,long
01560.JPG,none,none,none
01561.JPG,long,long,long
01562.JPG,none,none,none
01563.JPG,none,none,none
01564.JPG,none,none,none
01565.JPG,none,none,none
01566.JPG,none,none,none
01567.JPG,none,long,long
01568.JPG,long,none,none
01569.JPG,none,none,none
01570.JPG,diag,long,long
01571.JPG,none,none,none
01572.JPG,none,none,none
01573.JPG,none,none,none
01574.JPG,none,long,long
01575.JPG,long,long,long
01576.JPG,none,none,none
01577.JPG,none,lat,lat
01578.JPG,none,none,none
01579.JPG,lat,long,long
01580.JPG,none,none,none
01581.JPG,none,none,none
01582.JPG,none,none,none
01583.JPG,none,none,none
01584.JPG,none,none,none
01585.JPG,none,long,none
01586.JPG,none,none,diag
01587.JPG,none,none,none
01588.JPG,none,none,none
01589.JPG,long,long,none
01590.JPG,none,none,none
01591.JPG,none,none,none
01592.JPG,none,none,none
01593.JPG,none,none,none
01594.JPG,croc,croc,croc
01595.JPG,none,none,none
01596.JPG,none,none,none
01597.JPG,none,none,none
01598.JPG,RAIl,RAIl,none
01599.JPG,none,none,none
01600.JPG,none,diag,none
01601.JPG,none,none,none
01602.JPG,long,none,none
01603.JPG,long,none,none
01604.JPG,long,lat,none
01605.JPG,none,none,none
01606.JPG,none,none,none
01607.JPG,none,none,none
01608.JPG,none,none,long
01609.JPG,none,none,none
01610.JPG,none,none,none
01611.JPG,none,none,none
01612.JPG,none,none,none
01613.JPG,none,none,none
01614.JPG,none,long,none
01615.JPG,long,long,lat
01616.JPG,long,long,long
01617.JPG,none,none,long
01618.JPG,none,none,lat
01619.JPG,none,long,long
01620.JPG,none,none,none
01621.JPG,long,long,croc
01622.JPG,none,lat,lat
01623.JPG,none,long,none
01624.JPG,none,long,long
01625.JPG,none,long,long
01626.JPG,lat,diag,diag
01627.JPG,none,diag,none
01628.JPG,long,long,long
01629.JPG,none,none,none
01630.JPG,none,lat,none
01631.JPG,long,none,none
01632.JPG,none,none,none
01633.JPG,none,long,long
01634.JPG,croc,long,long
01635.JPG,diag,croc,long
01636.JPG,long,long,lat
01637.JPG,croc,none,croc
01638.JPG,croc,croc,croc
01639.JPG,long,long,lat
01640.JPG,diag,long,long
01641.JPG,none,lat,none
01642.JPG,none,long,none
01643.JPG,none,none,lat
01644.JPG,long,none,none
01645.JPG,long,long,long
01646.JPG,lat,long,long
01647.JPG,none,none,long
01648.JPG,none,none,none
01649.JPG,none,none,none
01650.JPG,long,none,none
01651.JPG,none,none,none
01652.JPG,diag,none,none
01653.JPG,long,long,none
01654.JPG,none,none,none
01655.JPG,long,none,long
01656.JPG,none,long,none
01657.JPG,long,lat,long
01658.JPG,lat,none,none
01659.JPG,long,long,long
01660.JPG,none,none,none
01661.JPG,none,lat,none
01662.JPG,croc,long,croc
01663.JPG,lat,none,long
01664.JPG,none,none,none
01665.JPG,none,lat,none
01666.JPG,none,none,none
01667.JPG,lat,none,lat
01668.JPG,long,long,croc
01669.JPG,long,long,long
01670.JPG,lat,none,none
01671.JPG,long,diag,croc
01672.JPG,none,none,none
01673.JPG,diag,none,diag
01674.JPG,none,none,none
01675.JPG,none,none,long
01676.JPG,long,none,none
01677.JPG,none,RAIl,lat
01678.JPG,none,none,diag
01679.JPG,none,lat,none
01680.JPG,lat,long,lat
01681.JPG,long,long,lat
01682.JPG,croc,croc,long
01683.JPG,croc,croc,none
01684.JPG,long,lat,none
01685.JPG,croc,none,none
01686.JPG,lat,long,none
01687.JPG,lat,lat,lat
01688.JPG,none,none,lat
01689.JPG,lat,none,none
01690.JPG,none,lat,none
01691.JPG,none,none,none
01692.JPG,none,none,none
01693.JPG,none,diag,croc
01694.JPG,lat,long,none
01695.JPG,none,none,none
01696.JPG,none,long,none
01697.JPG,long,long,croc
01698.JPG,long,lat,long
01699.JPG,long,long,long
01700.JPG,long,long,diag
01701.JPG,none,none,none
01702.JPG,lat,none,none
01703.JPG,none,none,lat
01704.JPG,long,none,none
01705.JPG,none,none,lat
01706.JPG,croc,croc,lat
01707.JPG,long,none,none
01708.JPG,none,none,none
01709.JPG,long,long,long
01710.JPG,croc,long,long
01711.JPG,long,none,none
01712.JPG,long,none,none
01713.JPG,none,long,none
01714.JPG,none,none,none
01715.JPG,long,long,lat
01716.JPG,long,long,long
01717.JPG,lat,none,long
01718.JPG,lat,long,long
01719.JPG,none,none,none
01720.JPG,lat,croc,lat
01721.JPG,none,none,none
01722.JPG,long,long,long
01723.JPG,long,long,long
01724.JPG,long,lat,long
01725.JPG,long,none,long
01726.JPG,none,none,none
01727.JPG,diag,croc,croc
01728.JPG,long,long,long
01729.JPG,none,none,none
01730.JPG,long,long,long
01731.JPG,long,lat,long
01732.JPG,lat,lat,none
